"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
4,4,4,4,,1,6,6,1,,2,2,1,1,2,22.0,15.0,4,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,4.0,1.0,4.0
5,6,3,5,,4,5,5,4,,2,2,1,1,1,62.0,18.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,5.5,4.0,4.0
7,7,1,3,,6,5,3,4,,2,2,1,1,4,23.0,12.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,7.0,5.0,2.0
6,6,2,2,,4,2,2,4,,1,2,1,3,2,38.0,16.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,6.0,4.0,2.0
2,2,3,4,,1,5,7,5,,2,2,1,1,3,32.0,16.0,2,"one",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,2.0,3.0,3.5
5,4,6,4,,5,6,4,2,,2,2,1,1,3,32.0,14.0,1,"ack",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,4.5,3.5,5.0
2,3,5,6,,4,1,2,6,,1,2,1,1,4,67.0,13.0,2,"asy",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.5,5.0,5.5
6,6,3,3,,3,5,5,3,,2,2,1,1,4,41.0,12.0,7,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,6.0,3.0,3.0
2,2,6,7,,4,1,1,6,,1,2,1,1,2,40.0,16.0,2,"ack",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,2.0,5.0,6.5
5,7,7,5,,2,3,4,5,,1,2,1,4,2,30.0,15.0,1,"you",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,6.0,3.5,6.0
4,3,4,4,,2,4,6,2,,1,2,1,1,4,30.0,13.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,3.5,2.0,4.0
5,6,3,4,,3,6,5,4,,2,2,1,1,4,64.0,12.0,5,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,5.5,3.5,3.5
6,6,7,6,,4,4,4,4,,2,2,1,1,3,48.0,14.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,6.0,4.0,6.5
3,2,4,5,,4,4,3,4,,2,2,1,1,3,36.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,2.5,4.0,4.5
3,5,6,3,,6,5,3,5,,2,2,1,2,3,23.0,13.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,4.0,5.5,4.5
4,4,4,3,,4,5,4,4,,2,2,1,1,2,46.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,4.0,4.0,3.5
1,1,5,6,,4,5,6,4,,1,2,1,1,2,35.0,16.0,1,"N/A",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,1.0,4.0,5.5
5,5,4,4,,4,3,3,4,,2,2,1,1,2,39.0,16.0,2,"one",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,4.0,4.0
5,5,4,5,,2,6,7,2,,1,2,1,1,2,27.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.5,5.0,2.0,4.5
6,6,3,3,,2,6,6,2,,2,2,1,1,3,62.0,14.0,5,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,6.0,2.0,3.0
7,7,4,6,,4,7,7,6,,2,2,1,1,2,27.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",7.0,7.0,5.0,5.0
6,6,2,2,,1,7,7,1,,2,2,1,1,3,30.0,14.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,6.0,1.0,2.0
3,3,4,3,,4,3,3,4,,1,2,1,1,2,25.0,16.0,1,"one",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,3.0,4.0,3.5
2,2,4,5,,4,2,1,4,,2,2,1,1,2,22.0,16.0,4,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.0,4.0,4.5
3,3,4,4,,5,4,4,5,,1,2,1,1,1,67.0,20.0,5,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,3.0,5.0,4.0
6,6,2,4,,2,4,4,3,,2,2,1,1,3,37.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,6.0,2.5,3.0
3,2,4,4,,4,1,1,4,,1,2,1,1,1,31.0,18.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,2.5,4.0,4.0
2,2,5,5,,4,2,2,6,,2,2,1,1,2,54.0,16.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,2.0,5.0,5.0
4,4,4,4,,4,4,4,4,,1,2,1,1,1,29.0,18.0,1,"ne.",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,4.0,4.0,4.0
4,6,2,3,,2,5,4,3,,2,2,1,1,4,35.0,12.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,5.0,2.5,2.5
5,5,3,3,,1,7,7,1,,2,2,1,2,1,41.0,19.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,5.0,1.0,3.0
5,6,3,3,,4,2,3,4,,2,2,1,2,2,30.0,16.0,6,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.5,5.5,4.0,3.0
5,5,3,3,,4,4,4,5,,2,2,1,1,3,42.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,5.0,4.5,3.0
6,6,2,2,,1,7,7,1,,1,2,1,1,6,48.0,15.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,6.0,1.0,2.0
4,3,3,3,,3,5,5,3,,1,2,1,1,2,37.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,3.5,3.0,3.0
7,7,1,4,,7,1,1,7,,2,2,1,1,3,44.0,14.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",1.0,7.0,7.0,2.5
5,4,4,2,,4,3,4,3,,1,2,1,5,2,24.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,4.5,3.5,3.0
3,4,4,4,,3,4,3,4,,1,2,1,1,1,24.0,20.0,4,"JOB",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,3.5,3.5,4.0
7,7,5,5,,1,7,7,2,,2,2,1,5,2,30.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,7.0,1.5,5.0
3,5,5,5,,4,1,2,4,,1,2,1,1,4,34.0,12.0,3,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,4.0,4.0,5.0
3,3,2,3,,2,2,3,2,,1,2,1,1,3,40.0,14.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",2.5,3.0,2.0,2.5
4,5,3,3,,2,4,5,4,,1,2,1,1,2,38.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.5,4.5,3.0,3.0
2,2,6,5,,7,1,2,7,,2,2,1,2,2,53.0,16.0,6,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.0,7.0,5.5
7,6,2,3,,4,6,5,4,,1,2,1,1,4,36.0,12.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,6.5,4.0,2.5
5,5,4,5,,4,6,6,5,,1,2,1,1,4,65.0,13.0,1,"vey",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,5.0,4.5,4.5
4,5,4,5,,5,5,4,5,,2,2,1,1,1,33.0,18.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,4.5,5.0,4.5
5,6,2,3,,3,7,4,6,,1,2,1,1,4,37.0,14.0,1,"one",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,5.5,4.5,2.5
4,6,2,2,,3,6,6,3,,1,2,1,1,3,73.0,14.0,5,"you",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,5.0,3.0,2.0
2,2,5,7,,5,1,3,7,,1,2,1,1,4,80.0,14.0,5,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,2.0,6.0,6.0
7,7,1,3,,1,7,7,1,,1,2,1,4,4,30.0,12.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,7.0,1.0,2.0
5,3,3,4,,3,3,4,5,,2,2,1,1,3,31.0,14.0,7,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.5,4.0,4.0,3.5
7,7,1,1,,1,7,7,1,,1,2,1,3,3,40.0,14.0,1,"ne.",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,7.0,1.0,1.0
5,4,5,5,,4,6,6,4,,1,2,1,1,2,29.0,17.0,4,"ion",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,4.5,4.0,5.0
4,4,3,4,,2,5,5,2,,2,2,1,3,3,24.0,15.0,3,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,4.0,2.0,3.5
7,5,3,4,,4,5,5,4,,1,2,1,1,5,35.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,6.0,4.0,3.5
3,4,4,5,,2,7,7,3,,1,2,1,1,4,32.0,13.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,3.5,2.5,4.5
4,4,4,5,,4,3,3,5,,2,2,1,1,4,33.0,13.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,4.0,4.5,4.5
2,2,4,6,,4,1,2,7,,1,2,1,1,2,49.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.0,5.5,5.0
6,5,5,6,,6,6,5,5,,1,2,1,1,4,30.0,20.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.5,5.5,5.5,5.5
2,1,6,7,,5,1,1,6,,1,2,1,1,2,29.0,17.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,1.5,5.5,6.5
2,3,4,5,,4,2,2,6,,2,2,1,1,2,27.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,2.5,5.0,4.5
7,7,1,4,,4,5,5,4,,1,2,1,1,2,26.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,7.0,4.0,2.5
6,6,2,2,,3,6,6,2,,2,2,1,1,4,54.0,13.0,1,"one",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,6.0,2.5,2.0
7,7,1,1,,4,4,4,4,,1,2,1,4,4,27.0,12.0,1,"add",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,7.0,4.0,1.0
1,3,3,3,,6,1,1,6,,1,2,1,1,4,26.0,12.0,3,"nks",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,2.0,6.0,3.0
6,5,3,6,,5,3,3,6,,2,2,1,1,4,24.0,13.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.5,5.5,4.5
5,3,4,4,,3,3,3,3,,2,2,1,1,2,25.0,20.0,4,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.0,4.0,3.0,4.0
5,1,3,4,,2,7,7,3,,2,2,1,1,2,37.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,3.0,2.5,3.5
4,4,5,6,,5,4,5,6,,2,2,1,1,1,82.0,15.0,1,"one",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.5,4.0,5.5,5.5
7,7,1,1,,7,1,1,7,,2,2,1,2,2,34.0,16.0,1," :)",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,7.0,7.0,1.0
4,5,2,3,,5,3,5,3,,2,2,1,1,4,33.0,13.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,4.5,4.0,2.5
5,5,3,3,,1,7,7,1,,2,2,1,1,4,28.0,12.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,5.0,1.0,3.0
3,3,4,5,,4,2,2,6,,1,2,1,1,3,32.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,3.0,5.0,4.5
7,7,2,2,,5,6,6,5,,2,2,1,1,2,64.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,7.0,5.0,2.0
4,5,5,4,,4,2,2,5,,2,2,1,1,2,26.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,4.5,4.5,4.5
2,2,7,7,,3,1,1,3,,2,2,1,4,2,30.0,16.0,2,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",1.0,2.0,3.0,7.0
5,5,3,5,,4,3,3,6,,2,2,1,1,2,59.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,5.0,4.0
4,4,4,4,,4,4,4,4,,1,2,1,1,2,49.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,4.0,4.0,4.0
3,6,5,3,,4,4,3,5,,2,2,1,1,5,28.0,15.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.5,4.5,4.5,4.0
6,6,2,5,,3,4,3,2,,2,2,1,1,3,36.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,6.0,2.5,3.5
3,6,3,5,,3,3,6,3,,1,2,1,1,2,36.0,17.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,4.5,3.0,4.0
5,5,4,4,,4,7,5,5,,1,2,1,2,1,31.0,18.0,1,"ONE",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,5.0,4.5,4.0
4,2,4,4,,4,3,2,3,,2,2,1,1,1,39.0,18.0,3,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",2.5,3.0,3.5,4.0
1,2,4,7,,4,1,2,7,,1,2,1,1,2,60.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,1.5,5.5,5.5
5,5,3,4,,4,3,3,4,,1,2,1,3,2,42.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,4.0,3.5
7,7,2,5,,4,7,7,6,,1,2,1,1,3,30.0,14.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,7.0,5.0,3.5
5,5,5,6,,4,2,2,7,,1,2,1,1,4,21.0,8.0,3,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,5.0,5.5,5.5
6,5,3,3,,3,5,5,4,,1,2,1,2,2,25.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,5.5,3.5,3.0
6,6,5,5,,6,5,6,5,,1,2,1,1,4,27.0,12.0,1,"ey!",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,6.0,5.5,5.0
7,7,1,2,,1,7,7,1,,1,2,1,1,2,47.0,16.0,1," it",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,7.0,1.0,1.5
6,6,5,5,,2,6,6,2,,1,2,1,1,2,62.0,16.0,1,"OOD",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,6.0,2.0,5.0
5,6,2,2,,3,5,5,4,,2,2,1,1,6,24.0,12.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,5.5,3.5,2.0
3,3,4,3,,4,4,4,4,,1,2,1,4,1,43.0,20.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,3.0,4.0,3.5
6,7,1,1,,1,7,7,1,,2,2,1,5,2,31.0,14.0,7,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",7.0,6.5,1.0,1.0
7,7,1,1,,3,5,5,4,,1,2,1,2,2,27.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,7.0,3.5,1.0
5,6,3,4,,7,3,4,7,,1,2,1,2,2,33.0,16.0,7,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,5.5,7.0,3.5
3,1,1,4,,6,1,1,2,,2,2,1,1,4,32.0,12.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,2.0,4.0,2.5
3,3,5,7,,4,7,6,7,,2,2,1,1,2,22.0,17.0,4,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.5,3.0,5.5,6.0
3,3,4,5,,4,3,3,6,,1,2,1,1,2,41.0,16.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,3.0,5.0,4.5
5,5,3,3,,4,3,2,4,,1,2,1,1,4,61.0,12.0,5,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.5,5.0,4.0,3.0
3,3,5,6,,3,5,6,2,,1,2,1,1,2,44.0,16.0,2,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,3.0,2.5,5.5
4,5,3,3,,2,5,4,2,,2,2,1,1,3,38.0,14.0,6,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,4.5,2.0,3.0
7,1,1,1,,7,7,7,7,,2,2,1,1,1,30.0,12.0,1,"one",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,4.0,7.0,1.0
5,3,4,5,,4,4,3,3,,2,2,1,2,3,40.0,13.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,4.0,3.5,4.5
4,4,4,5,,4,3,4,4,,1,2,1,1,2,28.0,14.0,1,"vey",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.5,4.0,4.0,4.5
5,5,4,4,,4,2,2,4,,1,2,1,5,6,30.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,5.0,4.0,4.0
2,2,4,6,,4,1,2,7,,1,2,1,1,2,25.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.0,5.5,5.0
5,5,4,3,,4,6,5,3,,2,2,1,1,2,26.0,17.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,5.0,3.5,3.5
4,5,4,5,,2,4,4,3,,1,2,1,1,2,23.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,4.5,2.5,4.5
5,5,3,3,,2,6,6,2,,1,2,1,1,2,37.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,5.0,2.0,3.0
3,3,4,5,,5,1,1,6,,1,2,1,1,4,33.0,13.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,3.0,5.5,4.5
2,2,3,6,,4,2,2,5,,1,2,1,1,1,34.0,17.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,2.0,4.5,4.5
5,5,4,6,,4,1,1,7,,2,2,1,3,3,34.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,5.0,5.5,5.0
1,1,7,7,,1,7,7,1,,2,2,1,1,3,51.0,14.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,1.0,1.0,7.0
5,5,2,3,,4,3,3,5,,2,2,1,1,2,47.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,4.5,2.5
4,4,4,4,,4,4,4,4,,2,2,1,1,4,39.0,13.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,4.0,4.0,4.0
3,3,4,5,,5,3,3,5,,1,2,1,1,2,67.0,16.0,5,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,3.0,5.0,4.5
6,6,2,3,,2,6,6,2,,2,2,1,1,3,26.0,14.0,1,"OOD",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,6.0,2.0,2.5
5,5,3,3,,3,5,5,3,,2,2,1,1,2,29.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,5.0,3.0,3.0
7,5,2,4,,4,5,5,4,,2,2,1,1,4,37.0,12.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,6.0,4.0,3.0
5,3,2,2,,1,1,3,1,,2,2,1,1,2,33.0,16.0,2,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",2.0,4.0,1.0,2.0
4,4,4,5,,5,2,2,5,,2,2,1,1,2,32.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",2.0,4.0,5.0,4.5
7,7,1,7,,2,4,4,2,,2,2,1,1,2,34.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.0,7.0,2.0,4.0
4,5,5,4,,5,4,4,5,,1,2,1,4,3,23.0,14.0,2,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.0,4.5,5.0,4.5
4,4,4,5,,4,4,3,4,,2,2,1,1,2,32.0,18.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.5,4.0,4.0,4.5
3,4,5,5,,4,1,1,7,,2,2,1,4,1,30.0,17.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,3.5,5.5,5.0
3,5,3,5,,1,3,6,1,,2,2,1,1,1,36.0,20.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,4.0,1.0,4.0
3,3,4,4,,4,3,3,5,,2,2,1,3,1,37.0,19.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,3.0,4.5,4.0
5,5,3,5,,2,7,7,5,,2,2,1,1,4,68.0,13.0,5,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,5.0,3.5,4.0
1,1,1,1,,1,1,1,1,,1,2,1,1,2,28.0,15.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,1.0,1.0,1.0
6,6,4,4,,4,7,7,4,,1,2,1,1,2,30.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,6.0,4.0,4.0
7,6,5,3,,6,6,5,6,,1,2,1,1,2,43.0,16.0,3,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.5,6.5,6.0,4.0
5,5,4,4,,4,3,3,4,,2,2,1,1,4,26.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,4.0,4.0
2,2,5,4,,4,1,2,4,,1,2,1,1,1,27.0,19.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.5,2.0,4.0,4.5
7,7,2,2,,4,1,1,4,,1,2,1,1,3,65.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",1.0,7.0,4.0,2.0
6,6,4,4,,4,6,6,4,,2,2,1,1,2,43.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,6.0,4.0,4.0
4,5,4,5,,4,4,5,4,,2,2,1,1,2,28.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",4.5,4.5,4.0,4.5
1,2,4,4,,4,2,2,4,,1,2,1,1,1,35.0,20.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",2.0,1.5,4.0,4.0
6,6,4,4,,4,3,4,5,,2,2,1,2,3,30.0,15.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,6.0,4.5,4.0
4,4,2,2,,1,5,5,1,,1,2,1,1,2,29.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,4.0,1.0,2.0
7,6,2,3,,4,7,7,4,,2,2,1,1,2,40.0,17.0,6,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",7.0,6.5,4.0,2.5
3,3,3,5,,4,5,5,5,,1,2,1,1,3,32.0,13.0,2,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,3.0,4.5,4.0
5,5,3,4,,3,5,5,3,,2,2,1,4,1,43.0,18.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,5.0,3.0,3.5
4,7,4,5,,3,7,7,4,,1,2,1,1,4,23.0,12.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",7.0,5.5,3.5,4.5
5,7,4,5,,5,5,5,6,,2,2,1,1,3,33.0,14.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.0,6.0,5.5,4.5
5,5,4,3,,4,3,4,5,,1,2,1,1,4,27.0,14.0,1,"ing",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",3.5,5.0,4.5,3.5
3,3,4,4,,4,3,4,4,,2,2,1,1,4,29.0,13.0,6,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.5,3.0,4.0,4.0
4,4,3,4,,3,6,6,3,,1,2,1,1,2,32.0,16.0,3,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.0,4.0,3.0,3.5
5,5,3,4,,4,3,3,5,,1,2,1,3,2,32.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,5.0,4.5,3.5
7,7,2,3,,2,6,6,5,,2,2,1,3,2,45.0,16.0,1,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",6.0,7.0,3.5,2.5
5,6,2,2,,3,6,7,3,,1,2,1,1,3,38.0,16.0,1,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",6.5,5.5,3.0,2.0
5,5,4,5,,3,4,5,4,,2,2,1,1,4,58.0,13.0,4,"ood",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",4.5,5.0,3.5,4.5
7,7,1,7,,5,6,5,1,,1,2,1,1,4,28.0,12.0,1,"ing",0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",5.5,7.0,3.0,4.0
3,3,4,5,,5,3,3,5,,2,2,1,1,2,44.0,16.0,2,,0.0,,0.0,,1.0,1.0,0.0,,1,"early","positive change",3.0,3.0,5.0,4.5
3,4,4,5,,6,5,5,5,,1,2,1,1,4,26.0,13.0,4,,0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",5.0,3.5,5.5,4.5
7,7,1,1,,7,1,1,7,,2,2,1,1,4,24.0,12.0,3,"ena",0.0,,1.0,1.0,0.0,,0.0,,1,"late","positive change",1.0,7.0,7.0,1.0
